"Gene","MeanDecreaseAccuracy","MeanDecreaseGini"
"PRPF19",1.00100150250438,0.00747763267574327
"PRSS16",1.00100150250438,0.00392982456140351
"PRSS22",1.00100150250438,0.00469843971631205
"PUS3",1.00100150250438,0.00533333333333333
"R3HDM2",1.00100150250438,0.00771428571428571
"RAB23",1.00100150250438,0.0227454545454545
"RARA",1.00100150250438,0.0307621693121693
"RDH8",1.00100150250438,0.0111627906976744
"RFX5",1.00100150250438,0.0107456140350877
"RGS13",1.00100150250438,0.011265306122449
"RGS9",1.00100150250438,0.00363636363636364
"RHOG",1.00100150250438,0.0299727236685608
"RIPK1",1.00100150250438,0.0327880952380952
"RNF32",1.00100150250438,0.00769230769230769
"RPS6KB2",1.00100150250438,0.0102857142857143
"RRAGD",1.00100150250438,0.00783461210571186
"RRAS2",1.00100150250438,0.0200941877794337
"RREB1",1.00100150250438,0.0151885506115014
"SAFB2",1.00100150250438,0.00366666666666667
"SCFD1",1.00100150250438,0.0119047619047619
"SDHD",1.00100150250438,0.00355555555555556
"SEC14L1",1.00100150250438,0.0521076868642194
"SEMA4A",1.00100150250438,0.0113207547169811
"SENP7",1.00100150250438,0.0111627906976744
"SERINC1",1.00100150250438,0.0048
"SERPINB9",1.00100150250438,0.00391836734693878
"SERPINI1",1.00100150250438,0.01472
"SLAMF8",1.00100150250438,0.00391836734693878
"SLC15A2",1.00100150250438,0.00392156862745098
"SLC35D1",1.00100150250438,0.00945911949685535
"SLC39A7",1.00100150250438,0.0073504125054277
"SLCO1A2",1.00100150250438,0.00393103448275862
"SMAD6",1.00100150250438,0.00971428571428571
"SOX3",1.00100150250438,0.00391489361702128
"SQSTM1",1.00100150250438,0.0199494607087827
"SRP14",1.00100150250438,0.002
"STAC",1.00100150250438,0.00266666666666667
"STAT5B",1.00100150250438,0.0276571428571429
"SULT1A1",1.00100150250438,0.0307638528138528
"TACC2",1.00100150250438,0.0138502311248074
"TALDO1",1.00100150250438,0.00392156862745098
"TBL1Y",1.00100150250438,0.0289587301587302
"TBR1",1.00100150250438,0.00379072681704261
"TBXA2R",1.00100150250438,0.0075
"THAP9",1.00100150250438,0.01
"THBS4",1.00100150250438,0.0148760683760684
"TIMP3",1.00100150250438,0.0367287775487553
"TMC7",1.00100150250438,0.0119047619047619
"TNS3",1.00100150250438,0.00642222222222222
"TOLLIP",1.00100150250438,0.024850061050061
"TPCN1",1.00100150250438,0.00823404255319149
"TPM3",1.00100150250438,0.00917460317460317
"TRAF4",1.00100150250438,0.00571428571428571
"TRIM31",1.00100150250438,0.00762790697674419
"TRIM58",1.00100150250438,0.0259774853337561
"TRMT1",1.00100150250438,0.00392
"TSPAN15",1.00100150250438,0.0147924528301887
"TSPAN32",1.00100150250438,0.0185983930962654
"TST",1.00100150250438,0.0076820130286563
"TTC1",1.00100150250438,0.00743121693121694
"U2AF1",1.00100150250438,0.01
"UGCG",1.00100150250438,0.00926853146853146
"USP16",1.00100150250438,0.0174545454545455
"VNN2",1.00100150250438,0.0358965760683618
"VPS33B",1.00100150250438,0.0100030188679245
"VSIG4",1.00100150250438,0.015228337236534
"WASF3",1.00100150250438,0.00266666666666667
"XYLT2",1.00100150250438,0.00771428571428571
"YIF1B",1.00100150250438,0.0039047619047619
"ZBED2",1.00100150250438,0.00467222222222222
"ZC3H3",1.00100150250438,0.0112941176470588
"ZNF205",1.00100150250438,0.0108724528301887
"ZNF215",1.00100150250438,0.0073504125054277
"ZNF268",1.00100150250438,0.0312912280701754
"ZNF273",1.00100150250438,0.007
"ZNF480",1.00100150250438,0.00376470588235294
"ZYX",1.00100150250438,0.0231290043290043
"AAK1",1.00100150250438,0.0229565746002379
"ABCC4",1.00100150250438,0.003
"ACADS",1.00100150250438,0.0192842572062084
"ACOX2",1.00100150250438,0.013256038647343
"ACTR3B",1.00100150250438,0.00622222222222222
"ADAMTS1",1.00100150250438,0.00382608695652174
"ADAMTS2",1.00100150250438,0.0206285714285714
"ADAMTS8",1.00100150250438,0.0133333333333333
"ADRB2",1.00100150250438,0.0228571428571428
"AEBP1",1.00100150250438,0.00666666666666667
"AFF1",1.00100150250438,0.007
"AHNAK",1.00100150250438,0.00192592592592592
"AHSG",1.00100150250438,0.0128
"AKAP7",1.00100150250438,0.0101818181818182
"AKR1B1",1.00100150250438,0.00685714285714286
"ALDH18A1",1.00100150250438,0.0502666919287609
"ANP32B",1.00100150250438,0.0039245283018868
"ARAF",1.00100150250438,0.0148114285714286
"ARG1",1.00100150250438,0.008
"ARHGAP26",1.00100150250438,0.0180214285714286
"ARL6IP5",1.00100150250438,0.00366666666666667
"ARMC1",1.00100150250438,0.026422571692877
"ASB13",1.00100150250438,0.00654545454545455
"ASPM",1.00100150250438,0.0132434933487565
"ATP8B4",1.00100150250438,0.00873015873015873
"ATP9B",1.00100150250438,0.0106666666666667
"B3GALT4",1.00100150250438,0.00770370370370371
"BAG1",1.00100150250438,0.00730434782608695
"BAP1",1.00100150250438,0.0261120879120879
"BBS4",1.00100150250438,0.00826530612244898
"BCAS4",1.00100150250438,0.00392592592592592
"BCKDHA",1.00100150250438,0.0454579680041162
"BCL7B",1.00100150250438,0.0143210857332009
